<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100
@

<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Veggies							// Category Name
		CaninaBerry,			*,		100,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		-1	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		-1	// Sellvalue -1 means it can not be selled
		Apple,					*,		100,		-1
		Pear,					*,		100,		-1
		Orange,					*,		100,		-1
		Banana,					*,		100,		-1
		Tomato,					*,		100,		-1
		Potato,					*,		100,		-1
		GreenBellPepper,		*,		100,		-1
		Zucchini,				*,		300,		100
		Pumpkin,				*,		800,		300
		AgaricusMushroom,		*,		200,		100
		AmanitaMushroom,		*,		200,		100
		LactariusMushroom,		*,		200,		100
		MacrolepiotaMushroom,	*,		200,		100
		PsilocybeMushroom,		*,		200,		100
		AuriculariaMushroom,	*,		200,		100
		BoletusMushroom,		*,		200,		100
		PleurotusMushroom,		*,		200,		100
	
	<Category> Packaged Scran
		PowderedMilk,			*,		100,		-1
		BoxCerealCrunchin,		*,		200,		100
		Rice,					*,		300,		100
		Marmalade,				*,		300,		100
		PeachesCan,				*,		400,		200
		SardinesCan,			*,		400,		200
		TunaCan,				*,		400,		200
		SpaghettiCan,			*,		500,		200
		BakedBeansCan,			*,		500,		200
		TacticalBaconCan,		*,		500,		300		
		
	<Category> Meat
		ChickenBreastMeat,		S,		2000,		1000
		GoatSteakMeat,			S,		3000,		1000
		SheepSteakMeat,			S,		3000,		1000
		PigSteakMeat,			S,		4000,		2000
		BoarSteakMeat,			S,		4000,		2000
		WolfSteakMeat,			S,		4000,		2000
		DeerSteakMeat,			S,		5000,		2000
		CowSteakMeat,			S,		5000,		2000	
		Sardines,				S,		7000,		4000
		Carp,					S,		10000,		5000
		Mackerel,				S,		10000,		5000
		
	<Category> Animal Parts
		Bone,					*,		200,		100
		Lard,					*,		200,		100
		Guts,					*,		200,		100
		SmallGuts,				*,		200,		100
		
	<Category> Drinks
		SodaCan_Cola, 			*,		200, 		100
		SodaCan_Kvass, 			*,		200, 		100
		SodaCan_Pipsi, 			*,		200, 		100
		SodaCan_Spite, 			*,		200, 		100
		WaterBottle,			*,		500,		200
		Canteen,				*,		800,		400
		Vodka,					*,		1200,		800
		
	<Category> Medical Supplies
		//Rag,					1,		100,		-1
		BandageDressing,		2,		300,		100
		BloodTestKit,			*,		500,		200
		//InjectionVial,		*,		500, 		200
		Thermometer,			*,		500,		200
		DisinfectantSpray,		*,		800,		500
		//Syringe,				*,		800, 		500
		Heatpack,				*,		1000,		500
		StartKitIV,				*,		1000,		600
		SalineBag,				*,		1500,		800
		BloodBagEmpty,			*,		1800,		1000
		FirstAidKit,			*,		2000,		1000
		Defibrillator,		*,		    35000, 	    20
		
	<Category> Medications
		CharcoalTablets,		*,		200,		100
		DisinfectantAlcohol,	*,		400,		200
		VitaminBottle,			*,		600,		400
		TetracyclineAntibiotics,*,		800,		500
		PainkillerTablets,		*,		1000,		600
		Epinephrine,			*,		2000,		1000
		Morphine,				*,		2500,		1500	
		
	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,			*,		2000,		1
		Wrench,					*,		300,		1
		SewingKit,				*,		400, 		1
		Pliers,					*,		400, 		1
		LeatherSewingKit,		*,		5000, 		2
		Whetstone,				*,		500,		2
		Hammer,					*,		700,		3
		Hacksaw,				*,		-1,		30000
		HandSaw,				*,		700,		3
		WeaponCleaningKit,		*,		800, 		3
		KitchenKnife,			*,		800,		4
		SteakKnife,				*,		900,		4
		HuntingKnife,			*,		900,		4
		CanOpener,				*,		1000,		4
		Compass,				*,		1000,		4
		OrienteeringCompass,	*,		1000,		4
		Hatchet,				*,		1000,		4
		CombatKnife,			*,		1000,		5
		Machete,				*,		1200,		6	
		ChernarusMap,			*,		1500,		5
		Lockpick,				*,		-1,		10000
		Binoculars,				*,		3000,		15		
		FishingRod,				*,		6000,		25
		
	<Category> Tools (big)
		LugWrench,				*,		400,		1
		Crowbar,				*,		500,		3
		Shovel,					*,		6000,		3
		Pickaxe,				*,		1000,		4
		SledgeHammer,			*,		1200,		6
		PipeWrench,				W,		1500,		7
		WoodAxe,				*,		2000,		8
		FirefighterAxe,			*,		3000,		12
		
	<Category> Electronics
		Battery9V,				*,		800,		3
		PersonalRadio,			*,		1000,		5
		Megaphone,				*,		3000,		15
		ElectronicRepairKit,	*,		3500,		17
		CableReel,				*,		4000,		20
		BatteryCharger,			*,		4000,		20
		BaseRadio,				*,		5000,		30
		Rangefinder,			*,		6000,		35
		NVGoggles,				*,		60000,	220
	
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2000,		1
		Chemlight_Green,		*,		2000,		1
		Chemlight_Red,			*,		2000,		1
		Chemlight_White,		*,		2000,		1
		Chemlight_Yellow,		*,		2000,		1
		Roadflare,				*,		4000,		2
		Matchbox,				*,		6000,		3
		Flashlight,				*,		15000,		5
		PortableGasLamp,		*,		2500,		10
		PortableGasStove,		*,		3000,		15
		Headtorch_Black,		*,		4000,		20
		Headtorch_Grey,			*,		4000,		20
		Spotlight,				*,		6000,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		500,		2
		Pot,					M,		2500,		10
		Tripod,					*,		3500,		15
		BearTrap,				*,		5000,		30
	
	<Category> Hardware Supplies
		Paper,					*,		-1,		0
		Pen_Blue,				*,		-1,		1
		Rope,					*,		400,		1
		TannedLeather,			*,		400,		1
		AntiPestsSpray,			*,		-1,		4
		MetalWire,				*,		1500,		6
		EpoxyPutty,				*,		1500,		6
		DuctTape,				*,		2000,		8
		XmasLights,				*,		-1,		10
		HandcuffKeys,			*,		3500,		12
		Handcuffs,				*,		5000,		15
		Netting,				1,		5000,		10
		BurlapSack,				*,		5000,		10
		WoodenPlank,			10,		5000,		15
		MetalPlate,				*,		6000,		18
		SmallProtectorCase,		*,		7000,		30
		AmmoBox,				*,		8000,		35
		SmallGasCanister,		*,		8000,		35
		MediumGasCanister,		*,		10000,	40
		LargeGasCanister,		*,		20000,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		300,	120
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500		
		CarTent,				*,		5000,	700
		LargeTent,				*,		7000,	1200
	
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Fluffy Pets <3
		Bear_Beige,				*,		-1,		10000
		Bear_Dark,				*,		-1,		10000
		Bear_Pink,				*,		-1,		10000
		Bear_White,				*,		-1,		10000

		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,	W,		1500,		60
		StunBaton,				W,		1500,		90
		Pipe,					W,		2500,		100
		CattleProd,				W,		2500,		150
		BaseballBat,			W,		3500,		170
		NailedBaseballBat,		W,		4500,		200
		
	<Category> Sidearms
